SELECT date, ordering, pref_label::varchar(20),
       birthyear, extract(year from date) - birthyear AS age
FROM registers
JOIN register_plays ON (register_id = registers.id)
JOIN play_person USING (play_id)
JOIN person ON (person_id = person.id)
ORDER BY date
    date    | ordering |      pref_label      | birthyear | age 
------------+----------+----------------------+-----------+-----
 1680-04-30 |        1 | Boyer (Claude, abbé) |           |    
 1680-05-03 |        1 | Boyer (Claude, abbé) |           |    
 1680-05-03 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-05 |        1 | Boyer (Claude, abbé) |           |    
 1680-05-05 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-07 |        1 | Boyer (Claude, abbé) |           |    
 1680-05-07 |        2 | Montfleury           |      1639 |  41
 1680-05-10 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-10 |        1 | Boyer (Claude, abbé) |           |    
 1680-05-12 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-12 |        1 | Boyer (Claude, abbé) |           |    
 1680-05-14 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-15 |        1 | Jean Racine          |      1639 |  41
 1680-05-15 |        2 | Rosimond (Claude Ros |           |    
 1680-05-16 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-16 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-17 |        2 | Anonyme              |           |    
 1680-05-17 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-05-18 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-18 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-19 |        2 | Anonyme              |           |    
 1680-05-19 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-05-20 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-21 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-21 |        1 | Jean Racine          |      1639 |  41
 1680-05-22 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-23 |        2 | Montfleury           |      1639 |  41
 1680-05-23 |        1 | Jean Racine          |      1639 |  41
 1680-05-24 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-25 |        1 | Jean Racine          |      1639 |  41
 1680-05-25 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-26 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-27 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-28 |        2 | Montfleury           |      1639 |  41
 1680-05-28 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-05-29 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-29 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-05-31 |        1 | Charles Chevillet    |           |    
 1680-06-01 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-06-01 |        2 | Rosimond (Claude Ros |           |    
 1680-06-02 |        1 | Charles Chevillet    |           |    
 1680-06-03 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-04 |        1 | Charles Chevillet    |           |    
 1680-06-05 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-05 |        1 | Corneille (Thomas)   |      1625 |  55
 1680-06-06 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-07 |        1 | Charles Chevillet    |           |    
 1680-06-10 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-10 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-11 |        1 | Charles Chevillet    |           |    
 1680-06-12 |        2 | Montfleury           |      1639 |  41
 1680-06-12 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-06-13 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-13 |        1 | Boyer (Claude, abbé) |           |    
 1680-06-14 |        1 | Charles Chevillet    |           |    
 1680-06-15 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-06-15 |        2 | Montfleury           |      1639 |  41
 1680-06-16 |        1 | Charles Chevillet    |           |    
 1680-06-17 |        1 | Desmarets de Saint-S |      1595 |  85
 1680-06-18 |        1 | Charles Chevillet    |           |    
 1680-06-19 |        2 | Montfleury           |      1639 |  41
 1680-06-19 |        1 | Jean Racine          |      1639 |  41
 1680-06-21 |        1 | arrangée et versifié |           |    
 1680-06-21 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-22 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-06-22 |        2 | Rosimond (Claude Ros |           |    
 1680-06-23 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-23 |        1 | arrangée et versifié |           |    
 1680-06-24 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-06-24 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-25 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-25 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-26 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-06-26 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-27 |        2 | Anonyme              |           |    
 1680-06-27 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-06-28 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-06-28 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-29 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-06-29 |        1 | Tristan L'Hermite    |      1601 |  79
 1680-06-30 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-01 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-01 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-02 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-03 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-04 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-04 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-05 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-06 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-07 |        2 | Rosimond (Claude Ros |           |    
 1680-07-07 |        1 | Jean Racine          |      1639 |  41
 1680-07-09 |        1 | Pradon (Nicolas)     |      1632 |  48
 1680-07-09 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-12 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-14 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-16 |        1 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-19 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-19 |        1 | Corneille (Pierre)   |      1606 |  74
 1680-07-21 |        1 | Boyer (Claude, abbé) |           |    
 1680-07-21 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-23 |        2 | Jean-Baptiste Poquel |      1622 |  58
 1680-07-23 |        1 | Boyer (Claude, abbé) |           |    
 1680-07-26 |        1 | Corneille (Pierre)   |      1606 |  74
