  season   | count |        avg         
-----------+-------+--------------------
 1694-1695 |     6 | 6.8750000000000000
 1710-1711 |     6 | 6.6666666666666667
 1716-1717 |     3 | 4.6250000000000000
 1719-1720 |     7 | 7.5714285714285714
 1724-1725 |     4 | 5.2500000000000000
 1726-1727 |     2 | 4.1428571428571429
 1727-1728 |     3 | 4.8571428571428571
 1748-1749 |     1 | 2.0000000000000000
 1749-1750 |     2 | 3.2000000000000000
 1750-1751 |     1 | 3.0000000000000000
 1751-1752 |     1 | 3.3333333333333333
 1752-1753 |     1 | 4.6666666666666667
 1755-1756 |     2 | 3.2500000000000000
 1763-1764 |     1 | 2.0000000000000000
 1764-1765 |     2 | 3.0000000000000000
 1767-1768 |     2 | 3.1666666666666667
 1776-1777 |     1 | 2.1428571428571429
 1788-1789 |     2 | 3.7777777777777778
(18 lignes)

